,close,pe_ttm,nav,Year,percent,percent_pe
2011-02-24,1101.953,65.37079620361328,1.1322602090146965,2011,0.2,0.4
2011-02-25,1095.098,64.03559875488281,1.1252166747325667,2011,0.2,0.4
2011-02-28,1099.776,62.90060043334961,1.1300233345971624,2011,0.2,0.4
2011-03-01,1098.003,62.900001525878906,1.1282015714633598,2011,0.2,0.4
2011-03-02,1088.897,62.35710144042969,1.118845127528557,2011,0.2,0.4
2011-03-03,1064.307,61.00870132446289,1.0935788243925144,2011,0.2,0.4
2011-03-04,1071.86,61.510398864746094,1.1013395558925765,2011,0.2,0.4
2011-03-07,1078.111,61.835899353027344,1.1077624782554643,2011,0.2,0.4
2011-03-08,1084.821,62.21039962768555,1.1146570245768486,2011,0.2,0.4
2011-03-09,1087.299,62.385799407958984,1.1172031774508262,2011,0.2,0.4
2011-03-10,1093.904,62.74369812011719,1.1239898359385676,2011,0.2,0.4
2011-03-11,1101.76,63.165199279785156,1.1320619009014286,2011,0.2,0.4
2011-03-14,1107.537,63.45909881591797,1.1379977867581557,2011,0.2,0.4
2011-03-15,1094.954,62.749698638916016,1.1250687142749989,2011,0.2,0.4
2011-03-16,1102.215,63.267799377441406,1.1325294148472154,2011,0.2,0.4
2011-03-17,1078.371,62.05759811401367,1.108029629081628,2011,0.2,0.4
2011-03-18,1083.597,62.42060089111328,1.113399360687523,2011,0.2,0.4
2011-03-21,1070.601,61.7135009765625,1.1000459293920368,2011,0.2,0.4
2011-03-22,1067.285,61.52669906616211,1.096638728855269,2011,0.2,0.4
2011-03-23,1076.563,62.05870056152344,1.1061719033366113,2011,0.2,0.4
2011-03-24,1077.988,62.073001861572266,1.107636095364625,2011,0.2,0.4
2011-03-25,1072.343,61.69139862060547,1.1018358399273351,2011,0.2,0.4
2011-03-28,1052.113,60.542701721191406,1.0810494506454262,2011,0.2,0.4
2011-03-29,1019.04,58.64500045776367,1.0470668380541968,2011,0.2,0.4
2011-03-30,1006.366,57.954200744628906,1.0340442627818827,2011,0.2,0.4
2011-03-31,1008.296,58.11240005493164,1.036027343914561,2011,0.2,0.4
2011-04-01,1015.076,58.19020080566406,1.0429938154583744,2011,0.2,0.4
2011-04-06,994.261,57.06589889526367,1.0216063368175967,2011,0.2,0.4
2011-04-07,1004.412,57.532798767089844,1.032036521572943,2011,0.2,0.4
2011-04-08,1019.142,58.340301513671875,1.0471716433783071,2011,0.2,0.4
2011-04-11,1002.804,57.32440185546875,1.0303842964634369,2011,0.2,0.4
2011-04-12,1000.165,57.05910110473633,1.0276727155778729,2011,0.2,0.4
2011-04-13,1020.747,58.07619857788086,1.0488207859782805,2011,0.2,0.4
2011-04-14,1016.616,57.83319854736328,1.0445761703518068,2011,0.2,0.4
2011-04-15,1010.058,57.307098388671875,1.0378378045134105,2011,0.2,0.4
2011-04-18,1003.258,56.712799072265625,1.0308507829060463,2011,0.2,0.4
2011-04-19,994.299,56.19160079956055,1.0216453819383438,2011,0.2,0.4
2011-04-20,1008.18,56.226898193359375,1.0359081535459649,2011,0.2,0.4
2011-04-21,1010.56,56.01919937133789,1.0383536111085423,2011,0.2,0.4
2011-04-22,1004.646,55.49620056152344,1.0322769573164905,2011,0.2,0.4
2011-04-25,975.175,53.77429962158203,1.0019954111708091,2011,0.2,0.3
2011-04-26,958.292,52.3224983215332,0.9846480750241721,2011,0.2,0.3
2011-04-27,942.543,50.71799850463867,0.9684659274808808,2011,0.2,0.3
2011-04-28,904.147,48.77920150756836,0.9290139154755337,2011,0.2,0.3
2011-04-29,912.715,49.21839904785156,0.9378175627008127,2011,0.2,0.3
2011-05-03,922.072,49.757198333740234,0.9474319099331815,2011,0.2,0.3
2011-05-04,903.985,48.7672004699707,0.92884745996077,2011,0.2,0.3
2011-05-05,914.593,49.28900146484375,0.9397472136682583,2011,0.2,0.3
2011-05-06,918.282,49.541500091552734,0.9435376728902535,2011,0.2,0.3
2011-05-09,931.77,50.1245002746582,0.9573966357490961,2011,0.2,0.3
2011-05-10,931.205,50.050498962402344,0.9568160964537784,2011,0.2,0.3
2011-05-11,929.953,50.01530075073242,0.9555296624754812,2011,0.2,0.3
2011-05-12,909.255,48.852901458740234,0.9342624017064773,2011,0.2,0.3
2011-05-13,909.774,48.871700286865234,0.9347956758556276,2011,0.2,0.3
2011-05-16,906.337,48.684898376464844,0.931264147434376,2011,0.2,0.3
2011-05-17,895.149,48.05270004272461,0.9197684418839066,2011,0.2,0.3
2011-05-18,890.794,47.840999603271484,0.9152936655456607,2011,0.2,0.3
2011-05-19,884.89,47.502201080322266,0.9092272867853844,2011,0.2,0.3
2011-05-20,875.43,47.00410079956055,0.8995071067257275,2011,0.2,0.3
2011-05-23,840.898,45.19369888305664,0.8640253669984476,2011,0.2,0.3
2011-05-24,870.939,46.77040100097656,0.8948925899553345,2011,0.2,0.3
2011-05-25,842.35,45.264801025390625,0.8655173016122553,2011,0.2,0.3
2011-05-26,830.921,44.615299224853516,0.8537739677959955,2011,0.2,0.3
2011-05-27,822.944,44.22930145263672,0.8455775749486505,2011,0.2,0.3
2011-05-30,834.316,44.78670120239258,0.8572623410837898,2011,0.2,0.3
2011-05-31,846.315,45.41490173339844,0.8695913517112552,2011,0.2,0.3
2011-06-01,851.166,45.6890983581543,0.8745757696255677,2011,0.2,0.3
2011-06-02,833.737,44.732398986816406,0.8566674167439863,2011,0.2,0.3
2011-06-03,847.545,45.46030044555664,0.8708551806196461,2011,0.2,0.3
2011-06-07,847.709,45.507598876953125,0.8710236911407648,2011,0.2,0.3
2011-06-08,844.978,45.39500045776367,0.8682175799628661,2011,0.2,0.3
2011-06-09,828.016,44.51430130004883,0.8507890710652023,2011,0.2,0.3
2011-06-10,824.03,44.29890060424805,0.8466934433994737,2011,0.2,0.3
2011-06-13,829.359,44.565799713134766,0.8521690078326568,2011,0.2,0.3
2011-06-14,838.474,45.02389907836914,0.8615346992960576,2011,0.2,0.3
2011-06-15,827.533,44.45249938964844,0.850292787030444,2011,0.2,0.3
2011-06-16,810.709,43.55149841308594,0.8330060735712825,2011,0.2,0.3
2011-06-17,802.637,43.12409973144531,0.8247120679220701,2011,0.2,0.3
2011-06-20,791.758,42.49340057373047,0.8135338608534648,2011,0.1,0.3
2011-06-21,795.608,42.66830062866211,0.817489748087046,2011,0.1,0.3
