group_percent,number,date,close,pe_ttm,nav,year,percent,percent_pe,group_percent,group_pe,maxdd,maxl,maxdd_group_360,maxl_group_360
31,1151,2015-03-05,2014.786,69.62779998779297,2.0701990170904607,2015,0.5,0.5,31,68,0.6973994356458193,0.40190600887637695,0.5486078100049443,0.10781740591804789
32,1152,2015-03-06,1951.398,67.42500305175781,2.0050676456716943,2015,0.4,0.4,32,69,0.6973994356458193,0.3824778953345242,0.5486078100049443,0.07883630094937061
33,1169,2015-03-31,2335.1710000000003,81.55509948730469,2.399395622630963,2015,0.5,0.5,33,72,0.6973994356458193,0.4839643863340201,0.5486078100049443,0.23022468161860532
34,1188,2015-04-28,2687.974,93.7030029296875,2.761901826181398,2015,0.6,0.6,34,73,0.6973994356458193,0.5516952916955298,0.5486078100049443,0.33125952855198754
35,1191,2015-05-04,2845.252,98.9727020263672,2.923505470940669,2015,0.7,0.7,35,74,0.6973994356458193,0.5764763894375612,0.5486078100049443,0.3682257318508167
36,1192,2015-05-05,2783.4429999999998,96.80259704589844,2.8599965270392604,2015,0.6,0.7,36,74,0.6973994356458193,0.5670716447220223,0.5486078100049443,0.3541965831525919
37,1196,2015-05-11,3146.83,109.22450256347656,3.2333778242209217,2015,0.7,0.7,37,74,0.6973994356458193,0.6170649828557627,0.5486078100049443,0.4287721294127741
38,1198,2015-05-13,3192.147,110.91829681396484,3.279941185718117,2015,0.8,0.8,38,75,0.6973994356458193,0.6225012820524869,0.5486078100049443,0.4368815095294797
39,1200,2015-05-15,3145.335,109.29900360107422,3.2318417069704792,2015,0.7,0.7,39,76,0.6973994356458193,0.6168829711302611,0.5486078100049443,0.4285006207605867
40,1206,2015-05-25,3467.9159999999997,119.93659973144531,3.5632947094888894,2015,0.8,0.8,40,77,0.6973994356458193,0.6525200149023216,0.5486078100049443,0.48166074380117624
41,1208,2015-05-27,3628.673,125.71990203857422,3.728473037802869,2015,0.9,0.9,41,78,0.6973994356458193,0.6679140280758283,0.5486078100049443,0.5046241422139719
42,1210,2015-05-29,3542.844,123.1415023803711,3.6402834675766234,2015,0.8,0.8,42,79,0.6973994356458193,0.6598689075782056,0.5486078100049443,0.4926231581181672
43,1212,2015-06-02,3901.5429999999997,135.26539611816406,4.0088478298619155,2015,0.9,0.9,43,80,0.6973994356458193,0.6911397875148371,0.5486078100049443,0.5392702323157786
44,1213,2015-06-03,3982.2509999999997,137.85789489746094,4.091775556315908,2015,1.0,1.0,44,81,0.6973994356458193,0.6973994356458193,0.5486078100049443,0.5486078100049443
45,1223,2015-06-17,3741.357,129.6903076171875,3.8442562058623166,2015,0.9,0.9,45,82,0.6779159540241683,0.6779159540241683,0.5195441119358564,0.5195441119358564
46,1228,2015-06-25,3206.381,110.9208984375,3.2945666659474147,2015,0.8,0.8,46,83,0.6241771018478465,0.6241771018478465,0.4393813461344737,0.4393813461344737
47,1229,2015-06-26,2920.703,101.0459976196289,3.0010316131902637,2015,0.7,0.7,47,84,0.5939855496315304,0.5874173443859235,0.3943443155414913,0.38454646021865285
48,1230,2015-06-29,2689.76,93.12460327148438,2.7637369468565085,2015,0.6,0.6,48,85,0.5939855496315304,0.5519929659151745,0.3943443155414913,0.3317035720659093
49,1231,2015-06-30,2858.6059999999998,98.7197036743164,2.93722674837372,2015,0.7,0.7,49,86,0.5939855496315304,0.5784548832542854,0.3943443155414913,0.3711770702223391
50,1235,2015-07-06,2493.828,83.56639862060547,2.562416194272081,2015,0.6,0.6,50,87,0.5939855496315304,0.5167945022671973,0.3943443155414913,0.27919768324038385
51,1237,2015-07-08,2364.049,79.4928970336914,2.429067859392356,2015,0.5,0.5,51,88,0.5939855496315304,0.49026801051924046,0.3943443155414913,0.23962785881341714
52,1244,2015-07-17,2783.324,93.74479675292969,2.8598742541611317,2015,0.6,0.6,52,89,0.5939855496315304,0.5670531350284768,0.3943443155414913,0.3541689720636189
53,1249,2015-07-24,2897.824,96.74749755859376,2.977523367991016,2015,0.7,0.7,53,90,0.5841599075720264,0.5841599075720264,0.379687310202414,0.379687310202414
54,1268,2015-08-20,2508.817,83.20610046386719,2.577817439400432,2015,0.6,0.6,54,93,0.5841233116450376,0.5196814275413472,0.36814353687522205,0.28350413760748594
55,1270,2015-08-24,2152.614,70.12400054931639,2.211817725046315,2015,0.5,0.5,55,94,0.5841233116450376,0.44020089063808,0.36814353687522205,0.16494225160665127
56,1273,2015-08-27,1959.494,60.35540008544922,2.013386311397168,2015,0.4,0.4,56,95,0.5841233116450376,0.3850292983800919,0.36814353687522205,0.08264225356137855
57,1275,2015-08-31,1996.865,61.83089828491211,2.0517851326455228,2015,0.5,0.4,57,95,0.5841233116450376,0.3965383739010899,0.36814353687522205,0.09981045288489707
58,1278,2015-09-07,1893.521,58.52740097045898,1.9455988442644256,2015,0.4,0.4,58,95,0.5841233116450376,0.36360283302905005,0.36814353687522205,0.05068018786166086
59,1282,2015-09-11,2060.505,63.61859893798828,2.1171754348650325,2015,0.5,0.4,59,95,0.5841233116450376,0.41517666785569557,0.36814353687522205,0.12761337633250106
60,1287,2015-09-18,1983.2979999999998,61.23830032348633,2.0378449970356534,2015,0.4,0.4,60,95,0.5841233116450376,0.39241031857038117,0.36814353687522205,0.076867066875477
61,1300,2015-10-14,2305.0029999999997,73.58450317382812,2.368397906770527,2015,0.5,0.5,61,96,0.5841233116450376,0.477210485192427,0.36814353687522205,0.20570702077177327
62,1304,2015-10-20,2511.1639999999998,79.98200225830078,2.5802289893581496,2015,0.6,0.5,62,96,0.5841233116450376,0.5201303459272273,0.36814353687522205,0.27091671432053016
63,1305,2015-10-21,2344.74,74.87930297851562,2.409227800536973,2015,0.5,0.5,63,96,0.5841233116450376,0.48607035321613473,0.36814353687522205,0.2191681380451563
64,1319,2015-11-10,2746.6090000000004,81.76719665527344,2.8221494749972518,2015,0.6,0.5,64,96,0.5841233116450376,0.5612657644389865,0.37536904211772015,0.34103787615929326
65,1320,2015-11-11,2804.677,83.65640258789062,2.8818145295114332,2015,0.7,0.6,65,97,0.5841233116450376,0.5703493129511883,0.37536904211772015,0.35468102031000365
66,1322,2015-11-13,2710.1609999999996,80.6771011352539,2.784699039181779,2015,0.6,0.5,66,98,0.5841233116450376,0.5553653823518233,0.37536904211772015,0.33217572682951296
67,1323,2015-11-16,2797.1620000000003,83.06729888916016,2.874092843132117,2015,0.7,0.6,67,99,0.5841233116450376,0.5691949912089468,0.3826865555229229,0.36052745604294645
68,1326,2015-11-19,2770.752,82.49440002441406,2.846956484212928,2015,0.6,0.5,68,100,0.5841233116450376,0.5650886835054165,0.3886877240887103,0.360708031610191
69,1327,2015-11-20,2800.15,83.28150177001953,2.877163022626648,2015,0.7,0.6,69,101,0.5841233116450376,0.5696546970697998,0.3886877240887103,0.36741978108315626
70,1328,2015-11-23,2770.577,72.74079895019531,2.8467766711568565,2015,0.6,0.5,70,102,0.5841233116450376,0.5650612128809269,0.3886877240887103,0.36066765153973346
